,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__alpha,param_vect__max_df,param_vect__min_df,param_vect__norm,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0,0.2002497911453247,0.019071221351623535,0.09976732730865479,0.0001653432846069336,0.0001,0.6,1,l1,"{'clf__alpha': 0.0001, 'vect__max_df': 0.6, 'vect__min_df': 1, 'vect__norm': 'l1'}",0.81,0.7980769230769231,0.8040384615384616,0.0059615384615384626,5
1,0.20841383934020996,0.00014472007751464844,0.10083305835723877,0.0074547529220581055,0.0001,0.6,1,l2,"{'clf__alpha': 0.0001, 'vect__max_df': 0.6, 'vect__min_df': 1, 'vect__norm': 'l2'}",0.8261538461538461,0.8161538461538461,0.8211538461538461,0.0050000000000000044,1
2,0.18955457210540771,0.027456164360046387,0.0953911542892456,0.006551146507263184,0.0001,0.6,3,l1,"{'clf__alpha': 0.0001, 'vect__max_df': 0.6, 'vect__min_df': 3, 'vect__norm': 'l1'}",0.81,0.7938461538461539,0.801923076923077,0.008076923076923093,9
3,0.19585466384887695,0.014681339263916016,0.09437441825866699,0.005507946014404297,0.0001,0.6,3,l2,"{'clf__alpha': 0.0001, 'vect__max_df': 0.6, 'vect__min_df': 3, 'vect__norm': 'l2'}",0.7953846153846154,0.7780769230769231,0.7867307692307692,0.008653846153846123,15
4,0.15931463241577148,0.002351999282836914,0.09310078620910645,0.005245685577392578,0.0001,0.6,5,l1,"{'clf__alpha': 0.0001, 'vect__max_df': 0.6, 'vect__min_df': 5, 'vect__norm': 'l1'}",0.8026923076923077,0.785,0.7938461538461539,0.008846153846153837,11
5,0.16706979274749756,0.006112933158874512,0.10312139987945557,0.013289093971252441,0.0001,0.6,5,l2,"{'clf__alpha': 0.0001, 'vect__max_df': 0.6, 'vect__min_df': 5, 'vect__norm': 'l2'}",0.7823076923076923,0.7696153846153846,0.7759615384615384,0.006346153846153835,25
6,0.1670459508895874,0.002003312110900879,0.08962953090667725,0.0029364824295043945,0.0001,0.8,1,l1,"{'clf__alpha': 0.0001, 'vect__max_df': 0.8, 'vect__min_df': 1, 'vect__norm': 'l1'}",0.81,0.7980769230769231,0.8040384615384616,0.0059615384615384626,5
7,0.1782381534576416,0.0006852149963378906,0.16061055660247803,0.036525845527648926,0.0001,0.8,1,l2,"{'clf__alpha': 0.0001, 'vect__max_df': 0.8, 'vect__min_df': 1, 'vect__norm': 'l2'}",0.8261538461538461,0.8161538461538461,0.8211538461538461,0.0050000000000000044,1
8,0.15881335735321045,0.0009936094284057617,0.15185725688934326,0.03780996799468994,0.0001,0.8,3,l1,"{'clf__alpha': 0.0001, 'vect__max_df': 0.8, 'vect__min_df': 3, 'vect__norm': 'l1'}",0.81,0.7938461538461539,0.801923076923077,0.008076923076923093,9
9,0.16256725788116455,0.0132828950881958,0.12031161785125732,0.03326404094696045,0.0001,0.8,3,l2,"{'clf__alpha': 0.0001, 'vect__max_df': 0.8, 'vect__min_df': 3, 'vect__norm': 'l2'}",0.7953846153846154,0.7780769230769231,0.7867307692307692,0.008653846153846123,15
10,0.14099252223968506,0.0017699003219604492,0.13386118412017822,0.0037621259689331055,0.0001,0.8,5,l1,"{'clf__alpha': 0.0001, 'vect__max_df': 0.8, 'vect__min_df': 5, 'vect__norm': 'l1'}",0.8026923076923077,0.785,0.7938461538461539,0.008846153846153837,11
11,0.17420601844787598,0.00690007209777832,0.14272284507751465,0.05526876449584961,0.0001,0.8,5,l2,"{'clf__alpha': 0.0001, 'vect__max_df': 0.8, 'vect__min_df': 5, 'vect__norm': 'l2'}",0.7823076923076923,0.7696153846153846,0.7759615384615384,0.006346153846153835,25
12,0.1541684865951538,0.0045899152755737305,0.0962378978729248,0.0037925243377685547,0.001,0.6,1,l1,"{'clf__alpha': 0.001, 'vect__max_df': 0.6, 'vect__min_df': 1, 'vect__norm': 'l1'}",0.7915384615384615,0.775,0.7832692307692308,0.008269230769230751,19
13,0.19576311111450195,0.024411916732788086,0.09626305103302002,0.001755356788635254,0.001,0.6,1,l2,"{'clf__alpha': 0.001, 'vect__max_df': 0.6, 'vect__min_df': 1, 'vect__norm': 'l2'}",0.8165384615384615,0.8,0.8082692307692307,0.008269230769230751,3
14,0.15515780448913574,0.01188969612121582,0.10265827178955078,0.01088714599609375,0.001,0.6,3,l1,"{'clf__alpha': 0.001, 'vect__max_df': 0.6, 'vect__min_df': 3, 'vect__norm': 'l1'}",0.786923076923077,0.7696153846153846,0.7782692307692307,0.008653846153846179,21
15,0.1603466272354126,0.012273907661437988,0.09512948989868164,0.0013692378997802734,0.001,0.6,3,l2,"{'clf__alpha': 0.001, 'vect__max_df': 0.6, 'vect__min_df': 3, 'vect__norm': 'l2'}",0.8107692307692308,0.7938461538461539,0.8023076923076924,0.008461538461538465,7
16,0.157883882522583,0.006255388259887695,0.103973388671875,0.012025833129882812,0.001,0.6,5,l1,"{'clf__alpha': 0.001, 'vect__max_df': 0.6, 'vect__min_df': 5, 'vect__norm': 'l1'}",0.7796153846153846,0.7576923076923077,0.7686538461538461,0.010961538461538467,29
17,0.1696758270263672,0.00351715087890625,0.11290109157562256,0.005167126655578613,0.001,0.6,5,l2,"{'clf__alpha': 0.001, 'vect__max_df': 0.6, 'vect__min_df': 5, 'vect__norm': 'l2'}",0.7965384615384615,0.7834615384615384,0.79,0.0065384615384615485,13
18,0.15862083435058594,0.0015413761138916016,0.10430848598480225,0.013620495796203613,0.001,0.8,1,l1,"{'clf__alpha': 0.001, 'vect__max_df': 0.8, 'vect__min_df': 1, 'vect__norm': 'l1'}",0.7915384615384615,0.775,0.7832692307692308,0.008269230769230751,19
19,0.1719985008239746,0.008133411407470703,0.09537935256958008,0.001999378204345703,0.001,0.8,1,l2,"{'clf__alpha': 0.001, 'vect__max_df': 0.8, 'vect__min_df': 1, 'vect__norm': 'l2'}",0.8165384615384615,0.8,0.8082692307692307,0.008269230769230751,3
20,0.17086994647979736,0.0016733407974243164,0.12618446350097656,0.006936550140380859,0.001,0.8,3,l1,"{'clf__alpha': 0.001, 'vect__max_df': 0.8, 'vect__min_df': 3, 'vect__norm': 'l1'}",0.786923076923077,0.7696153846153846,0.7782692307692307,0.008653846153846179,21
21,0.17537188529968262,0.027745962142944336,0.09868788719177246,0.010638952255249023,0.001,0.8,3,l2,"{'clf__alpha': 0.001, 'vect__max_df': 0.8, 'vect__min_df': 3, 'vect__norm': 'l2'}",0.8107692307692308,0.7938461538461539,0.8023076923076924,0.008461538461538465,7
22,0.1604459285736084,0.018990516662597656,0.0907677412033081,0.0015529394149780273,0.001,0.8,5,l1,"{'clf__alpha': 0.001, 'vect__max_df': 0.8, 'vect__min_df': 5, 'vect__norm': 'l1'}",0.7796153846153846,0.7576923076923077,0.7686538461538461,0.010961538461538467,29
23,0.1797952651977539,0.02682042121887207,0.09728467464447021,0.001746058464050293,0.001,0.8,5,l2,"{'clf__alpha': 0.001, 'vect__max_df': 0.8, 'vect__min_df': 5, 'vect__norm': 'l2'}",0.7965384615384615,0.7834615384615384,0.79,0.0065384615384615485,13
24,0.16249322891235352,0.0008370876312255859,0.09792900085449219,0.008127450942993164,0.01,0.6,1,l1,"{'clf__alpha': 0.01, 'vect__max_df': 0.6, 'vect__min_df': 1, 'vect__norm': 'l1'}",0.7834615384615384,0.7711538461538462,0.7773076923076923,0.006153846153846121,23
25,0.1647435426712036,0.011595368385314941,0.10451924800872803,0.00720059871673584,0.01,0.6,1,l2,"{'clf__alpha': 0.01, 'vect__max_df': 0.6, 'vect__min_df': 1, 'vect__norm': 'l2'}",0.7923076923076923,0.7746153846153846,0.7834615384615384,0.008846153846153837,17
26,0.1396108865737915,0.0014995336532592773,0.09155380725860596,0.0057648420333862305,0.01,0.6,3,l1,"{'clf__alpha': 0.01, 'vect__max_df': 0.6, 'vect__min_df': 3, 'vect__norm': 'l1'}",0.7773076923076923,0.7573076923076923,0.7673076923076922,0.009999999999999953,31
27,0.15578055381774902,0.019519329071044922,0.09270071983337402,0.00848531723022461,0.01,0.6,3,l2,"{'clf__alpha': 0.01, 'vect__max_df': 0.6, 'vect__min_df': 3, 'vect__norm': 'l2'}",0.7846153846153846,0.7638461538461538,0.7742307692307693,0.010384615384615381,27
28,0.1417524814605713,0.0006573200225830078,0.09771966934204102,0.004985332489013672,0.01,0.6,5,l1,"{'clf__alpha': 0.01, 'vect__max_df': 0.6, 'vect__min_df': 5, 'vect__norm': 'l1'}",0.7707692307692308,0.7530769230769231,0.7619230769230769,0.008846153846153837,35
29,0.1620321273803711,0.010763406753540039,0.14809811115264893,0.022545933723449707,0.01,0.6,5,l2,"{'clf__alpha': 0.01, 'vect__max_df': 0.6, 'vect__min_df': 5, 'vect__norm': 'l2'}",0.7730769230769231,0.76,0.7665384615384616,0.0065384615384615485,33
30,0.20243370532989502,0.008495450019836426,0.15835881233215332,0.04310488700866699,0.01,0.8,1,l1,"{'clf__alpha': 0.01, 'vect__max_df': 0.8, 'vect__min_df': 1, 'vect__norm': 'l1'}",0.7834615384615384,0.7711538461538462,0.7773076923076923,0.006153846153846121,23
31,0.17841219902038574,0.017060041427612305,0.09830582141876221,0.0036417245864868164,0.01,0.8,1,l2,"{'clf__alpha': 0.01, 'vect__max_df': 0.8, 'vect__min_df': 1, 'vect__norm': 'l2'}",0.7923076923076923,0.7746153846153846,0.7834615384615384,0.008846153846153837,17
32,0.24856793880462646,0.01426708698272705,0.11387419700622559,0.0061419010162353516,0.01,0.8,3,l1,"{'clf__alpha': 0.01, 'vect__max_df': 0.8, 'vect__min_df': 3, 'vect__norm': 'l1'}",0.7773076923076923,0.7573076923076923,0.7673076923076922,0.009999999999999953,31
33,0.25806713104248047,0.008509159088134766,0.10097217559814453,0.003754854202270508,0.01,0.8,3,l2,"{'clf__alpha': 0.01, 'vect__max_df': 0.8, 'vect__min_df': 3, 'vect__norm': 'l2'}",0.7846153846153846,0.7638461538461538,0.7742307692307693,0.010384615384615381,27
34,0.19229340553283691,0.03820300102233887,0.11337363719940186,0.019905686378479004,0.01,0.8,5,l1,"{'clf__alpha': 0.01, 'vect__max_df': 0.8, 'vect__min_df': 5, 'vect__norm': 'l1'}",0.7707692307692308,0.7530769230769231,0.7619230769230769,0.008846153846153837,35
35,0.15236318111419678,0.02281320095062256,0.10117411613464355,0.011008024215698242,0.01,0.8,5,l2,"{'clf__alpha': 0.01, 'vect__max_df': 0.8, 'vect__min_df': 5, 'vect__norm': 'l2'}",0.7730769230769231,0.76,0.7665384615384616,0.0065384615384615485,33
36,1.0325547456741333,0.057057976722717285,0.3209182024002075,0.028481364250183105,0.1,0.6,1,l1,"{'clf__alpha': 0.1, 'vect__max_df': 0.6, 'vect__min_df': 1, 'vect__norm': 'l1'}",0.10884615384615384,0.10038461538461538,0.10461538461538461,0.004230769230769232,47
37,0.7834867238998413,0.058596014976501465,0.45742785930633545,0.0016578435897827148,0.1,0.6,1,l2,"{'clf__alpha': 0.1, 'vect__max_df': 0.6, 'vect__min_df': 1, 'vect__norm': 'l2'}",0.4938461538461538,0.5330769230769231,0.5134615384615384,0.019615384615384646,41
38,1.138622522354126,0.10089349746704102,0.2699434757232666,0.014986515045166016,0.1,0.6,3,l1,"{'clf__alpha': 0.1, 'vect__max_df': 0.6, 'vect__min_df': 3, 'vect__norm': 'l1'}",0.11038461538461539,0.10230769230769231,0.10634615384615384,0.004038461538461539,45
39,0.8057283163070679,0.07246696949005127,0.35149097442626953,0.029406309127807617,0.1,0.6,3,l2,"{'clf__alpha': 0.1, 'vect__max_df': 0.6, 'vect__min_df': 3, 'vect__norm': 'l2'}",0.6192307692307693,0.6192307692307693,0.6192307692307693,0.0,39
40,1.1539193391799927,0.0003064870834350586,0.2764298915863037,0.001018524169921875,0.1,0.6,5,l1,"{'clf__alpha': 0.1, 'vect__max_df': 0.6, 'vect__min_df': 5, 'vect__norm': 'l1'}",0.11153846153846154,0.10307692307692308,0.10730769230769231,0.004230769230769232,43
41,0.8305652141571045,0.001547098159790039,0.253054141998291,0.003916263580322266,0.1,0.6,5,l2,"{'clf__alpha': 0.1, 'vect__max_df': 0.6, 'vect__min_df': 5, 'vect__norm': 'l2'}",0.635,0.6530769230769231,0.6440384615384616,0.00903846153846155,37
