,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__solver,param_vect__max_df,param_vect__min_df,param_vect__norm,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0,0.2219909429550171,0.0065108537673950195,0.09670305252075195,0.006013631820678711,0.001,lbfgs,0.6,1,l1,"{'clf__C': 0.001, 'clf__solver': 'lbfgs', 'vect__max_df': 0.6, 'vect__min_df': 1, 'vect__norm': 'l1'}",0.23615384615384616,0.2923076923076923,0.26423076923076927,0.028076923076923083,177
1,0.24980449676513672,0.01027226448059082,0.0974740982055664,0.005771160125732422,0.001,lbfgs,0.6,1,l2,"{'clf__C': 0.001, 'clf__solver': 'lbfgs', 'vect__max_df': 0.6, 'vect__min_df': 1, 'vect__norm': 'l2'}",0.2673076923076923,0.315,0.29115384615384615,0.02384615384615385,165
2,0.1533421277999878,0.0125807523727417,0.11363232135772705,0.013416647911071777,0.001,lbfgs,0.6,3,l1,"{'clf__C': 0.001, 'clf__solver': 'lbfgs', 'vect__max_df': 0.6, 'vect__min_df': 3, 'vect__norm': 'l1'}",0.24269230769230768,0.29615384615384616,0.26942307692307693,0.02673076923076924,169
3,0.15637171268463135,0.004737257957458496,0.10862195491790771,0.001106858253479004,0.001,lbfgs,0.6,3,l2,"{'clf__C': 0.001, 'clf__solver': 'lbfgs', 'vect__max_df': 0.6, 'vect__min_df': 3, 'vect__norm': 'l2'}",0.27807692307692305,0.3173076923076923,0.2976923076923077,0.019615384615384618,157
4,0.16228079795837402,0.018113374710083008,0.0931999683380127,0.00849461555480957,0.001,lbfgs,0.6,5,l1,"{'clf__C': 0.001, 'clf__solver': 'lbfgs', 'vect__max_df': 0.6, 'vect__min_df': 5, 'vect__norm': 'l1'}",0.24307692307692308,0.2919230769230769,0.26749999999999996,0.02442307692307691,173
5,0.1323699951171875,0.00042939186096191406,0.09703707695007324,0.00769495964050293,0.001,lbfgs,0.6,5,l2,"{'clf__C': 0.001, 'clf__solver': 'lbfgs', 'vect__max_df': 0.6, 'vect__min_df': 5, 'vect__norm': 'l2'}",0.28115384615384614,0.3176923076923077,0.2994230769230769,0.018269230769230788,151
6,0.23291003704071045,0.0032171010971069336,0.10310637950897217,0.004008173942565918,0.001,lbfgs,0.8,1,l1,"{'clf__C': 0.001, 'clf__solver': 'lbfgs', 'vect__max_df': 0.8, 'vect__min_df': 1, 'vect__norm': 'l1'}",0.23615384615384616,0.2923076923076923,0.26423076923076927,0.028076923076923083,177
7,0.24630093574523926,0.0052623748779296875,0.11738979816436768,0.00827944278717041,0.001,lbfgs,0.8,1,l2,"{'clf__C': 0.001, 'clf__solver': 'lbfgs', 'vect__max_df': 0.8, 'vect__min_df': 1, 'vect__norm': 'l2'}",0.2673076923076923,0.315,0.29115384615384615,0.02384615384615385,165
8,0.14744925498962402,0.0060138702392578125,0.10738503932952881,0.0042618513107299805,0.001,lbfgs,0.8,3,l1,"{'clf__C': 0.001, 'clf__solver': 'lbfgs', 'vect__max_df': 0.8, 'vect__min_df': 3, 'vect__norm': 'l1'}",0.24269230769230768,0.29615384615384616,0.26942307692307693,0.02673076923076924,169
9,0.165108323097229,0.0037740468978881836,0.09203898906707764,0.0032912492752075195,0.001,lbfgs,0.8,3,l2,"{'clf__C': 0.001, 'clf__solver': 'lbfgs', 'vect__max_df': 0.8, 'vect__min_df': 3, 'vect__norm': 'l2'}",0.27807692307692305,0.3173076923076923,0.2976923076923077,0.019615384615384618,157
10,0.13860082626342773,0.003720521926879883,0.09564876556396484,0.00668025016784668,0.001,lbfgs,0.8,5,l1,"{'clf__C': 0.001, 'clf__solver': 'lbfgs', 'vect__max_df': 0.8, 'vect__min_df': 5, 'vect__norm': 'l1'}",0.24307692307692308,0.2919230769230769,0.26749999999999996,0.02442307692307691,173
11,0.1489853858947754,0.014701604843139648,0.09591507911682129,0.0071027278900146484,0.001,lbfgs,0.8,5,l2,"{'clf__C': 0.001, 'clf__solver': 'lbfgs', 'vect__max_df': 0.8, 'vect__min_df': 5, 'vect__norm': 'l2'}",0.28115384615384614,0.3176923076923077,0.2994230769230769,0.018269230769230788,151
12,0.20168030261993408,0.00858771800994873,0.13083279132843018,0.03267323970794678,0.001,liblinear,0.6,1,l1,"{'clf__C': 0.001, 'clf__solver': 'liblinear', 'vect__max_df': 0.6, 'vect__min_df': 1, 'vect__norm': 'l1'}",0.2603846153846154,0.32,0.2901923076923077,0.029807692307692313,167
13,0.16993391513824463,0.0021027326583862305,0.09455394744873047,0.006063699722290039,0.001,liblinear,0.6,1,l2,"{'clf__C': 0.001, 'clf__solver': 'liblinear', 'vect__max_df': 0.6, 'vect__min_df': 1, 'vect__norm': 'l2'}",0.525,0.5376923076923077,0.5313461538461539,0.006346153846153835,149
14,0.1431823968887329,0.004585862159729004,0.11290788650512695,0.01987934112548828,0.001,liblinear,0.6,3,l1,"{'clf__C': 0.001, 'clf__solver': 'liblinear', 'vect__max_df': 0.6, 'vect__min_df': 3, 'vect__norm': 'l1'}",0.26692307692307693,0.32346153846153847,0.2951923076923077,0.02826923076923077,161
15,0.1576615571975708,0.0031534433364868164,0.10644805431365967,0.022999882698059082,0.001,liblinear,0.6,3,l2,"{'clf__C': 0.001, 'clf__solver': 'liblinear', 'vect__max_df': 0.6, 'vect__min_df': 3, 'vect__norm': 'l2'}",0.5734615384615385,0.568076923076923,0.5707692307692307,0.002692307692307716,141
