,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__alpha,param_vect__max_df,param_vect__min_df,param_vect__norm,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0,0.13681364059448242,0.0011913776397705078,0.0919959545135498,0.005375385284423828,0.0001,0.6,1,l1,"{'clf__alpha': 0.0001, 'vect__max_df': 0.6, 'vect__min_df': 1, 'vect__norm': 'l1'}",0.7473076923076923,0.7196153846153847,0.7334615384615385,0.013846153846153841,35
1,0.13134372234344482,0.0007747411727905273,0.09399688243865967,0.0006176233291625977,0.0001,0.6,1,l2,"{'clf__alpha': 0.0001, 'vect__max_df': 0.6, 'vect__min_df': 1, 'vect__norm': 'l2'}",0.7376923076923076,0.7107692307692308,0.7242307692307692,0.013461538461538414,39
2,0.12729144096374512,0.0037174224853515625,0.09185636043548584,0.007762312889099121,0.0001,0.6,3,l1,"{'clf__alpha': 0.0001, 'vect__max_df': 0.6, 'vect__min_df': 3, 'vect__norm': 'l1'}",0.7257692307692307,0.695,0.7103846153846154,0.015384615384615385,45
3,0.11882555484771729,0.00828564167022705,0.09800553321838379,0.0034017562866210938,0.0001,0.6,3,l2,"{'clf__alpha': 0.0001, 'vect__max_df': 0.6, 'vect__min_df': 3, 'vect__norm': 'l2'}",0.7153846153846154,0.6911538461538461,0.7032692307692308,0.012115384615384639,49
4,0.1303497552871704,0.002765059471130371,0.09461832046508789,0.0020003318786621094,0.0001,0.6,5,l1,"{'clf__alpha': 0.0001, 'vect__max_df': 0.6, 'vect__min_df': 5, 'vect__norm': 'l1'}",0.7211538461538461,0.6815384615384615,0.7013461538461538,0.019807692307692304,51
5,0.12633657455444336,0.0017769336700439453,0.09649789333343506,0.002896428108215332,0.0001,0.6,5,l2,"{'clf__alpha': 0.0001, 'vect__max_df': 0.6, 'vect__min_df': 5, 'vect__norm': 'l2'}",0.7084615384615385,0.6753846153846154,0.6919230769230769,0.016538461538461557,53
6,0.1403414011001587,0.0029832124710083008,0.09402728080749512,0.0009851455688476562,0.0001,0.8,1,l1,"{'clf__alpha': 0.0001, 'vect__max_df': 0.8, 'vect__min_df': 1, 'vect__norm': 'l1'}",0.7473076923076923,0.7196153846153847,0.7334615384615385,0.013846153846153841,35
7,0.11784255504608154,0.009133458137512207,0.08566439151763916,0.005774378776550293,0.0001,0.8,1,l2,"{'clf__alpha': 0.0001, 'vect__max_df': 0.8, 'vect__min_df': 1, 'vect__norm': 'l2'}",0.7376923076923076,0.7107692307692308,0.7242307692307692,0.013461538461538414,39
8,0.10995125770568848,0.016294479370117188,0.09117162227630615,0.006876111030578613,0.0001,0.8,3,l1,"{'clf__alpha': 0.0001, 'vect__max_df': 0.8, 'vect__min_df': 3, 'vect__norm': 'l1'}",0.7257692307692307,0.695,0.7103846153846154,0.015384615384615385,45
9,0.1021575927734375,0.0020294189453125,0.10308420658111572,0.014655470848083496,0.0001,0.8,3,l2,"{'clf__alpha': 0.0001, 'vect__max_df': 0.8, 'vect__min_df': 3, 'vect__norm': 'l2'}",0.7153846153846154,0.6911538461538461,0.7032692307692308,0.012115384615384639,49
10,0.10304534435272217,0.005614161491394043,0.09487032890319824,0.009320974349975586,0.0001,0.8,5,l1,"{'clf__alpha': 0.0001, 'vect__max_df': 0.8, 'vect__min_df': 5, 'vect__norm': 'l1'}",0.7211538461538461,0.6815384615384615,0.7013461538461538,0.019807692307692304,51
